;replica;k;time
[1;1;1000;0.529999999999745
[2;2;1000;133.299.999.999.999
[3;3;1000;0.480000000000018
[4;4;1000;0.470000000000255
[5;5;1000;0.489999999999782
[6;6;1000;0.470000000000255
[7;7;1000;0.480000000000018
[8;8;1000;0.4699999999998
[9;9;1000;0.550000000000182
[10;10;1000;0.5
[11;11;1000;0.569999999999709
[12;12;1000;0.600000000000364
[13;13;1000;0.699999999999818
[14;14;1000;0.480000000000018
[15;15;1000;0.4699999999998
[16;16;1000;0.440000000000055
[17;17;1000;0.610000000000127
[18;18;1000;0.5
[19;19;1000;0.579999999999927
[20;20;1000;0.690000000000055
[21;21;1000;0.619999999999891
[22;22;1000;0.470000000000255
[23;23;1000;0.4699999999998
[24;24;1000;0.480000000000018
[25;25;1000;0.460000000000036
[26;26;1000;0.449999999999818
[27;27;1000;0.440000000000055
[28;28;1000;0.450000000000273
[29;29;1000;0.449999999999818
[30;30;1000;0.470000000000255
[31;1;5000;0.879999999999654
[32;2;5000;0.860000000000127
[33;3;5000;0.840000000000146
[34;4;5000;0.839999999999691
[35;5;5000;0.820000000000164
[36;6;5000;0.820000000000164
[37;7;5000;0.859999999999673
[38;8;5000;0.850000000000364
[39;9;5000;0.829999999999927
[40;10;5000;0.900000000000091
[41;11;5000;0.809999999999945
[42;12;5000;0.819999999999709
[43;13;5000;0.809999999999945
[44;14;5000;0.8100000000004
[45;15;5000;0.829999999999927
[46;16;5000;0.809999999999945
[47;17;5000;0.829999999999927
[48;18;5000;0.860000000000127
[49;19;5000;0.909999999999854
[50;20;5000;0.929999999999836
[51;21;5000;0.860000000000127
[52;22;5000;0.860000000000127
[53;23;5000;0.860000000000127
[54;24;5000;0.879999999999654
[55;25;5000;137.000.000.000.035
[56;26;5000;12.199.999.999.998
[57;27;5000;109.000.000.000.015
[58;28;5000;0.879999999999654
[59;29;5000;0.900000000000091
[60;30;5000;0.869999999999891
[61;1;10000;1.5
[62;2;10000;161.000.000.000.013
[63;3;10000;17.199.999.999.998
[64;4;10000;180.000.000.000.018
[65;5;10000;138.999.999.999.987
[66;6;10000;132.000.000.000.016
[67;7;10000;290.999.999.999.985
[68;8;10000;134.000.000.000.015
[69;9;10000;128.999.999.999.996
[70;10;10000;125.999.999.999.976
[71;11;10000;126.999.999.999.998
[72;12;10000;276.000.000.000.022
[73;13;10000;146.000.000.000.004
[74;14;10000;156.999.999.999.971
[75;15;10000;161.000.000.000.013
[76;16;10000;167.000.000.000.007
[77;17;10000;178.999.999.999.996
[78;18;10000;132.000.000.000.016
[79;19;10000;129.999.999.999.973
[80;20;10000;130.000.000.000.018
[81;21;10000;127.999.999.999.975
[82;22;10000;145.000.000.000.027
[83;23;10000;138.999.999.999.987
[84;24;10000;1.5
[85;25;10000;136.000.000.000.013
[86;26;10000;126.999.999.999.998
[87;27;10000;128.999.999.999.996
[88;28;10000;134.999.999.999.991
[89;29;10000;132.999.999.999.993
[90;30;10000;132.000.000.000.016
[91;1;15000;1.75
[92;2;15000;176.999.999.999.998
[93;3;15000;167.000.000.000.007
[94;4;15000;17.199.999.999.998
[95;5;15000;172.000.000.000.025
[96;6;15000;167.000.000.000.007
[97;7;15000;17.199.999.999.998
[98;8;15000;2
[99;9;15000;209.000.000.000.015
[100;10;15000;17.199.999.999.998
[101;11;15000;169.000.000.000.005
[102;12;15000;176.999.999.999.998
[103;13;15000;194.999.999.999.982
[104;14;15000;226.000.000.000.022
[105;15;15000;171.000.000.000.004
[106;16;15000;194.000.000.000.005
[107;17;15000;173.000.000.000.002
[108;18;15000;180.999.999.999.995
[109;19;15000;171.000.000.000.004
[110;20;15000;169.999.999.999.982
[111;21;15000;176.000.000.000.022
[112;22;15000;171.000.000.000.004
[113;23;15000;167.999.999.999.984
[114;24;15000;1.75
[115;25;15000;173.999.999.999.978
[116;26;15000;172.000.000.000.025
[117;27;15000;173.000.000.000.002
[118;28;15000;173.999.999.999.978
[119;29;15000;184.000.000.000.015
[120;30;15000;17.800.000.000.002
[121;1;20000;216.999.999.999.962
[122;2;20000;214.000.000.000.033
[123;3;20000;219.000.000.000.005
[124;4;20000;215.999.999.999.985
[125;5;20000;213.999.999.999.987
[126;6;20000;838.999.999.999.987
[127;7;20000;11.48
[128;8;20000;224.000.000.000.024
[129;9;20000;230.999.999.999.995
[130;10;20000;259.000.000.000.015
[131;11;20000;296.000.000.000.004
[132;12;20000;263.999.999.999.987
[133;13;20000;278.999.999.999.996
[134;14;20000;273.999.999.999.978
[135;15;20000;248.000.000.000.002
[136;16;20000;2.75
[137;17;20000;2.5
[138;18;20000;232.000.000.000.016
[139;19;20000;25.300.000.000.002
[140;20;20000;233.999.999.999.969
[141;21;20000;22.800.000.000.002
[142;22;20000;238.000.000.000.011
[143;23;20000;241.999.999.999.962
[144;24;20000;267.000.000.000.007
[145;25;20000;280.999.999.999.995
[146;26;20000;22.800.000.000.002
[147;27;20000;236.000.000.000.013
[148;28;20000;27.199.999.999.998
[149;29;20000;226.999.999.999.998
[150;30;20000;219.000.000.000.005
[151;1;25000;271.000.000.000.004
[152;2;25000;294.000.000.000.005
[153;3;25000;351.999.999.999.998
[154;4;25000;267.000.000.000.007
[155;5;25000;3.25
[156;6;25000;307.999.999.999.993
[157;7;25000;292.000.000.000.007
[158;8;25000;273.000.000.000.002
[159;9;25000;265.999.999.999.985
[160;10;25000;311.000.000.000.013
[161;11;25000;290.999.999.999.985
[162;12;25000;307.000.000.000.016
[163;13;25000;303.999.999.999.996
[164;14;25000;3
[165;15;25000;290.000.000.000.009
[166;16;25000;301.999.999.999.998
[167;17;25000;285.999.999.999.967
[168;18;25000;27.800.000.000.002
[169;19;25000;277.999.999.999.975
[170;20;25000;294.000.000.000.005
[171;21;25000;334.000.000.000.015
[172;22;25000;369.999.999.999.982
[173;23;25000;316.000.000.000.031
[174;24;25000;333.999.999.999.969
[175;25;25000;289.000.000.000.033
[176;26;25000;328.999.999.999.996
[177;27;25000;273.000.000.000.002
[178;28;25000;2.75
[179;29;25000;263.999.999.999.987
[180;30;25000;265.999.999.999.985
[181;1;50000;515.000.000.000.009
[182;2;50000;582.000.000.000.016
[183;3;50000;498.000.000.000.002
[184;4;50000;492.000.000.000.007
[185;5;50000;49.399.999.999.996
[186;6;50000;494.000.000.000.005
[187;7;50000;489.000.000.000.033
[188;8;50000;489.999.999.999.964
[189;9;50000;489.000.000.000.033
[190;10;50000;506.999.999.999.971
[191;11;50000;497.000.000.000.025
[192;12;50000;488.999.999.999.987
[193;13;50000;488.999.999.999.987
[194;14;50000;497.000.000.000.025
[195;15;50000;492.000.000.000.007
[196;16;50000;491.999.999.999.962
[197;17;50000;497.000.000.000.025
[198;18;50000;492.000.000.000.007
[199;19;50000;492.000.000.000.007
[200;20;50000;498.999.999.999.978
[201;21;50000;536.000.000.000.013
[202;22;50000;492.999.999.999.984
[203;23;50000;490.999.999.999.985
[204;24;50000;484.000.000.000.015
