;replica;k;time
[1;1;1000;0.529999999999745
[2;2;1000;13.3299999999999
[3;3;1000;0.480000000000018
[4;4;1000;0.470000000000255
[5;5;1000;0.489999999999782
[6;6;1000;0.470000000000255
[7;7;1000;0.480000000000018
[8;8;1000;0.4699999999998
[9;9;1000;0.550000000000182
[10;10;1000;0.5
[11;11;1000;0.569999999999709
[12;12;1000;0.600000000000364
[13;13;1000;0.699999999999818
[14;14;1000;0.480000000000018
[15;15;1000;0.4699999999998
[16;16;1000;0.440000000000055
[17;17;1000;0.610000000000127
[18;18;1000;0.5
[19;19;1000;0.579999999999927
[20;20;1000;0.690000000000055
[21;21;1000;0.619999999999891
[22;22;1000;0.470000000000255
[23;23;1000;0.4699999999998
[24;24;1000;0.480000000000018
[25;25;1000;0.460000000000036
[26;26;1000;0.449999999999818
[27;27;1000;0.440000000000055
[28;28;1000;0.450000000000273
[29;29;1000;0.449999999999818
[30;30;1000;0.470000000000255
[31;1;5000;0.879999999999654
[32;2;5000;0.860000000000127
[33;3;5000;0.840000000000146
[34;4;5000;0.839999999999691
[35;5;5000;0.820000000000164
[36;6;5000;0.820000000000164
[37;7;5000;0.859999999999673
[38;8;5000;0.850000000000364
[39;9;5000;0.829999999999927
[40;10;5000;0.900000000000091
[41;11;5000;0.809999999999945
[42;12;5000;0.819999999999709
[43;13;5000;0.809999999999945
[44;14;5000;0.8100000000004
[45;15;5000;0.829999999999927
[46;16;5000;0.809999999999945
[47;17;5000;0.829999999999927
[48;18;5000;0.860000000000127
[49;19;5000;0.909999999999854
[50;20;5000;0.929999999999836
[51;21;5000;0.860000000000127
[52;22;5000;0.860000000000127
[53;23;5000;0.860000000000127
[54;24;5000;0.879999999999654
[55;25;5000;1.37000000000035
[56;26;5000;1.2199999999998
[57;27;5000;1.09000000000015
[58;28;5000;0.879999999999654
[59;29;5000;0.900000000000091
[60;30;5000;0.869999999999891
[61;1;10000;1.5
[62;2;10000;1.61000000000013
[63;3;10000;1.7199999999998
[64;4;10000;1.80000000000018
[65;5;10000;1.38999999999987
[66;6;10000;1.32000000000016
[67;7;10000;2.90999999999985
[68;8;10000;1.34000000000015
[69;9;10000;1.28999999999996
[70;10;10000;1.25999999999976
[71;11;10000;1.26999999999998
[72;12;10000;2.76000000000022
[73;13;10000;1.46000000000004
[74;14;10000;1.56999999999971
[75;15;10000;1.61000000000013
[76;16;10000;1.67000000000007
[77;17;10000;1.78999999999996
[78;18;10000;1.32000000000016
[79;19;10000;1.29999999999973
[80;20;10000;1.30000000000018
[81;21;10000;1.27999999999975
[82;22;10000;1.45000000000027
[83;23;10000;1.38999999999987
[84;24;10000;1.5
[85;25;10000;1.36000000000013
[86;26;10000;1.26999999999998
[87;27;10000;1.28999999999996
[88;28;10000;1.34999999999991
[89;29;10000;1.32999999999993
[90;30;10000;1.32000000000016
[91;1;15000;1.75
[92;2;15000;1.76999999999998
[93;3;15000;1.67000000000007
[94;4;15000;1.7199999999998
[95;5;15000;1.72000000000025
[96;6;15000;1.67000000000007
[97;7;15000;1.7199999999998
[98;8;15000;2
[99;9;15000;2.09000000000015
[100;10;15000;1.7199999999998
[101;11;15000;1.69000000000005
[102;12;15000;1.76999999999998
[103;13;15000;1.94999999999982
[104;14;15000;2.26000000000022
[105;15;15000;1.71000000000004
[106;16;15000;1.94000000000005
[107;17;15000;1.73000000000002
[108;18;15000;1.80999999999995
[109;19;15000;1.71000000000004
[110;20;15000;1.69999999999982
[111;21;15000;1.76000000000022
[112;22;15000;1.71000000000004
[113;23;15000;1.67999999999984
[114;24;15000;1.75
[115;25;15000;1.73999999999978
[116;26;15000;1.72000000000025
[117;27;15000;1.73000000000002
[118;28;15000;1.73999999999978
[119;29;15000;1.84000000000015
[120;30;15000;1.7800000000002
[121;1;20000;2.16999999999962
[122;2;20000;2.14000000000033
[123;3;20000;2.19000000000005
[124;4;20000;2.15999999999985
[125;5;20000;2.13999999999987
[126;6;20000;8.38999999999987
[127;7;20000;11.48
[128;8;20000;2.24000000000024
[129;9;20000;2.30999999999995
[130;10;20000;2.59000000000015
[131;11;20000;2.96000000000004
[132;12;20000;2.63999999999987
[133;13;20000;2.78999999999996
[134;14;20000;2.73999999999978
[135;15;20000;2.48000000000002
[136;16;20000;2.75
[137;17;20000;2.5
[138;18;20000;2.32000000000016
[139;19;20000;2.5300000000002
[140;20;20000;2.33999999999969
[141;21;20000;2.2800000000002
[142;22;20000;2.38000000000011
[143;23;20000;2.41999999999962
[144;24;20000;2.67000000000007
[145;25;20000;2.80999999999995
[146;26;20000;2.2800000000002
[147;27;20000;2.36000000000013
[148;28;20000;2.7199999999998
[149;29;20000;2.26999999999998
[150;30;20000;2.19000000000005
[151;1;25000;2.71000000000004
[152;2;25000;2.94000000000005
[153;3;25000;3.51999999999998
[154;4;25000;2.67000000000007
[155;5;25000;3.25
[156;6;25000;3.07999999999993
[157;7;25000;2.92000000000007
[158;8;25000;2.73000000000002
[159;9;25000;2.65999999999985
[160;10;25000;3.11000000000013
[161;11;25000;2.90999999999985
[162;12;25000;3.07000000000016
[163;13;25000;3.03999999999996
[164;14;25000;3
[165;15;25000;2.90000000000009
[166;16;25000;3.01999999999998
[167;17;25000;2.85999999999967
[168;18;25000;2.7800000000002
[169;19;25000;2.77999999999975
[170;20;25000;2.94000000000005
[171;21;25000;3.34000000000015
[172;22;25000;3.69999999999982
[173;23;25000;3.16000000000031
[174;24;25000;3.33999999999969
[175;25;25000;2.89000000000033
[176;26;25000;3.28999999999996
[177;27;25000;2.73000000000002
[178;28;25000;2.75
[179;29;25000;2.63999999999987
[180;30;25000;2.65999999999985
[181;1;50000;5.15000000000009
[182;2;50000;5.82000000000016
[183;3;50000;4.98000000000002
[184;4;50000;4.92000000000007
[185;5;50000;4.9399999999996
[186;6;50000;4.94000000000005
[187;7;50000;4.89000000000033
[188;8;50000;4.89999999999964
[189;9;50000;4.89000000000033
[190;10;50000;5.06999999999971
[191;11;50000;4.97000000000025
[192;12;50000;4.88999999999987
[193;13;50000;4.88999999999987
[194;14;50000;4.97000000000025
[195;15;50000;4.92000000000007
[196;16;50000;4.91999999999962
[197;17;50000;4.97000000000025
[198;18;50000;4.92000000000007
[199;19;50000;4.92000000000007
[200;20;50000;4.98999999999978
[201;21;50000;5.36000000000013
[202;22;50000;4.92999999999984
[203;23;50000;4.90999999999985
[204;24;50000;4.84000000000015
[205;25;50000;4.88999999999987
[206;26;50000;4.91000000000031
[207;27;50000;4.86999999999989
[208;28;50000;5.19000000000005
[209;29;50000;4.96000000000004
[210;30;50000;5.56999999999971
[211;1;1,00E+05;12.9400000000001
[212;2;1,00E+05;11.4100000000003
[213;3;1,00E+05;12.4699999999998
[214;4;1,00E+05;10.73
[215;5;1,00E+05;11.27
[216;6;1,00E+05;12.0900000000001
[217;7;1,00E+05;10.5899999999997
[218;8;1,00E+05;10.1300000000001
[219;9;1,00E+05;10.3099999999999
