;replica;k;time
1;1;1000;0.53
2;2;1000;13.33
3;3;1000;0.48
4;4;1000;0.47
5;5;1000;0.49
6;6;1000;0.47
7;7;1000;0.48
8;8;1000;0.47
9;9;1000;0.55
10;10;1000;0.50
11;11;1000;0.57
12;12;1000;0.60
13;13;1000;0.70
14;14;1000;0.48
15;15;1000;0.47
16;16;1000;0.44
17;17;1000;0.61
18;18;1000;0.50
19;19;1000;0.58
20;20;1000;0.69
21;21;1000;0.62
22;22;1000;0.47
23;23;1000;0.47
24;24;1000;0.48
25;25;1000;0.46
26;26;1000;0.45
27;27;1000;0.44
28;28;1000;0.45
29;29;1000;0.45
30;30;1000;0.47
31;1;5000;0.88
32;2;5000;0.86
33;3;5000;0.84
34;4;5000;0.84
35;5;5000;0.82
36;6;5000;0.82
37;7;5000;0.86
38;8;5000;0.85
39;9;5000;0.83
40;10;5000;0.90
41;11;5000;0.81
42;12;5000;0.82
43;13;5000;0.81
44;14;5000;0.81
45;15;5000;0.83
46;16;5000;0.81
47;17;5000;0.83
48;18;5000;0.86
49;19;5000;0.91
50;20;5000;0.93
51;21;5000;0.86
52;22;5000;0.86
53;23;5000;0.86
54;24;5000;0.88
55;25;5000;1.37
56;26;5000;1.22
57;27;5000;1.09
58;28;5000;0.88
59;29;5000;0.90
60;30;5000;0.87
61;1;10000;1.50
62;2;10000;1.61
63;3;10000;1.72
64;4;10000;1.80
65;5;10000;1.39
66;6;10000;1.32
67;7;10000;2.91
68;8;10000;1.34
69;9;10000;1.29
70;10;10000;1.26
71;11;10000;1.27
72;12;10000;2.76
73;13;10000;1.46
74;14;10000;1.57
75;15;10000;1.61
76;16;10000;1.67
77;17;10000;1.79
78;18;10000;1.32
79;19;10000;1.30
80;20;10000;1.30
81;21;10000;1.28
82;22;10000;1.45
83;23;10000;1.39
84;24;10000;1.50
85;25;10000;1.36
86;26;10000;1.27
87;27;10000;1.29
88;28;10000;1.35
89;29;10000;1.33
90;30;10000;1.32
91;1;15000;1.75
92;2;15000;1.77
93;3;15000;1.67
94;4;15000;1.72
95;5;15000;1.72
96;6;15000;1.67
97;7;15000;1.72
98;8;15000;2.00
99;9;15000;2.09
100;10;15000;1.72
101;11;15000;1.69
102;12;15000;1.77
103;13;15000;1.95
104;14;15000;2.26
105;15;15000;1.71
106;16;15000;1.94
107;17;15000;1.73
108;18;15000;1.81
109;19;15000;1.71
110;20;15000;1.70
111;21;15000;1.76
112;22;15000;1.71
113;23;15000;1.68
114;24;15000;1.75
115;25;15000;1.74
116;26;15000;1.72
117;27;15000;1.73
118;28;15000;1.74
119;29;15000;1.84
120;30;15000;1.78
121;1;20000;2.17
122;2;20000;2.14
123;3;20000;2.19
124;4;20000;2.16
125;5;20000;2.14
126;6;20000;8.39
127;7;20000;11.48
128;8;20000;2.24
129;9;20000;2.31
130;10;20000;2.59
131;11;20000;2.96
132;12;20000;2.64
133;13;20000;2.79
134;14;20000;2.74
135;15;20000;2.48
136;16;20000;2.75
137;17;20000;2.50
138;18;20000;2.32
139;19;20000;2.53
140;20;20000;2.34
141;21;20000;2.28
142;22;20000;2.38
143;23;20000;2.42
144;24;20000;2.67
145;25;20000;2.81
146;26;20000;2.28
147;27;20000;2.36
148;28;20000;2.72
149;29;20000;2.27
150;30;20000;2.19
151;1;25000;2.71
152;2;25000;2.94
153;3;25000;3.52
154;4;25000;2.67
155;5;25000;3.25
156;6;25000;3.08
157;7;25000;2.92
158;8;25000;2.73
159;9;25000;2.66
160;10;25000;3.11
161;11;25000;2.91
162;12;25000;3.07
163;13;25000;3.02
164;14;25000;3.00
165;15;25000;2.90
166;16;25000;3.02
167;17;25000;2.86
168;18;25000;2.78
169;19;25000;2.78
170;20;25000;2.94
171;21;25000;3.34
172;22;25000;3.70
173;23;25000;3.16
174;24;25000;3.34
175;25;25000;2.89
176;26;25000;3.29
177;27;25000;2.73
178;28;25000;2.75
179;29;25000;2.64
180;30;25000;2.66
181;1;50000;5.15
182;2;50000;5.82
183;3;50000;4.98
184;4;50000;4.92
185;5;50000;4.94
186;6;50000;4.94
187;7;50000;4.89
188;8;50000;4.90
189;9;50000;4.89
190;10;50000;5.07
191;11;50000;4.97
192;12;50000;4.89
193;13;50000;4.89
194;14;50000;4.97
195;15;50000;4.92
196;16;50000;4.92
197;17;50000;4.97
198;18;50000;4.92
199;19;50000;4.92
200;20;50000;4.99
201;21;50000;5.36
202;22;50000;4.93
203;23;50000;4.91
204;24;50000;4.84
205;25;50000;4.89
206;26;50000;4.91
207;27;50000;4.87
208;28;50000;5.19
209;29;50000;4.96
210;30;50000;5.57
211;1;100000;12.94
212;2;100000;11.41
213;3;100000;12.47
214;4;100000;10.73
215;5;100000;11.27
216;6;100000;12.09
217;7;100000;10.59
218;8;100000;10.13
219;9;100000;10.31
220;10;100000;11.50
221;11;100000;11.25
222;12;100000;11.67
223;13;100000;10.78
224;14;100000;10.57
225;15;100000;10.81
226;16;100000;10.31
227;17;100000;10.47
228;18;100000;10.33
229;19;100000;10.48
230;20;100000;10.46
231;21;100000;10.48
232;22;100000;10.47
233;23;100000;10.28
234;24;100000;10.61
235;25;100000;10.83
236;26;100000;10.92
237;27;100000;11.72
238;28;100000;10.95
239;29;100000;10.02
240;30;100000;11.22
241;1;200000;24.11
242;2;200000;23.15
243;3;200000;25.38
244;4;200000;21.78
245;5;200000;22.33
246;6;200000;22.59
247;7;200000;21.59
248;8;200000;22.11
249;9;200000;21.82
250;10;200000;22.70
251;11;200000;20.51
252;12;200000;21.39
253;13;200000;23.17
254;14;200000;21.33
255;15;200000;21.92
256;16;200000;21.10
257;17;200000;21.76
258;18;200000;22.99
259;19;200000;22.46
260;20;200000;21.68
261;21;200000;21.42
262;22;200000;22.20
263;23;200000;22.05
264;24;200000;25.12
265;25;200000;23.07
266;26;200000;26.95
