;replica;k;time
1;1;1000;0.53
2;2;1000;0.50
3;3;1000;0.50
4;4;1000;0.50
5;5;1000;0.51
6;6;1000;0.52
7;7;1000;0.53
8;8;1000;0.51
9;9;1000;0.58
10;10;1000;0.64
11;11;1000;0.52
12;12;1000;0.55
13;13;1000;0.51
14;14;1000;0.53
15;15;1000;0.52
16;16;1000;0.51
17;17;1000;0.50
18;18;1000;0.52
19;19;1000;0.50
20;20;1000;0.50
21;21;1000;0.50
22;22;1000;0.55
23;23;1000;0.53
24;24;1000;0.53
25;25;1000;0.56
26;26;1000;0.66
27;27;1000;0.69
28;28;1000;0.70
29;29;1000;0.55
30;30;1000;0.70
31;1;5000;2.22
32;2;5000;2.06
33;3;5000;2.16
34;4;5000;1.90
35;5;5000;1.80
36;6;5000;1.84
37;7;5000;1.78
38;8;5000;1.79
39;9;5000;1.92
40;10;5000;2.04
41;11;5000;1.83
42;12;5000;1.81
43;13;5000;1.77
44;14;5000;1.81
45;15;5000;1.89
46;16;5000;1.85
47;17;5000;1.83
48;18;5000;1.76
49;19;5000;1.86
50;20;5000;1.78
51;21;5000;1.86
52;22;5000;1.83
53;23;5000;1.87
54;24;5000;1.74
55;25;5000;1.84
56;26;5000;1.88
57;27;5000;2.12
58;28;5000;1.88
59;29;5000;1.83
60;30;5000;1.78
61;1;10000;4.40
62;2;10000;4.44
63;3;10000;4.31
64;4;10000;4.53
65;5;10000;4.36
66;6;10000;4.41
67;7;10000;4.30
68;8;10000;4.31
69;9;10000;4.37
70;10;10000;4.32
71;11;10000;4.68
72;12;10000;4.36
73;13;10000;4.67
74;14;10000;4.31
75;15;10000;4.33
76;16;10000;4.38
77;17;10000;4.31
78;18;10000;4.33
79;19;10000;4.29
80;20;10000;4.30
81;21;10000;4.41
82;22;10000;4.31
83;23;10000;4.39
84;24;10000;4.36
85;25;10000;5.92
86;26;10000;7.09
87;27;10000;3.95
88;28;10000;4.13
89;29;10000;4.00
90;30;10000;3.95
91;1;15000;7.91
92;2;15000;8.06
93;3;15000;8.61
94;4;15000;7.95
95;5;15000;8.18
96;6;15000;8.21
97;7;15000;8.24
98;8;15000;7.83
99;9;15000;7.62
100;10;15000;7.64
101;11;15000;7.92
102;12;15000;8.13
103;13;15000;8.05
104;14;15000;9.11
105;15;15000;8.79
106;16;15000;8.42
107;17;15000;7.96
108;18;15000;7.36
109;19;15000;7.23
110;20;15000;7.42
111;21;15000;7.21
112;22;15000;7.51
113;23;15000;7.22
114;24;15000;7.00
115;25;15000;7.50
116;26;15000;7.09
117;27;15000;7.14
118;28;15000;7.08
119;29;15000;7.88
120;30;15000;8.92
121;1;20000;11.47
122;2;20000;11.19
123;3;20000;11.11
124;4;20000;11.26
125;5;20000;11.09
126;6;20000;11.36
127;7;20000;11.60
128;8;20000;13.17
129;9;20000;13.30
130;10;20000;12.62
131;11;20000;13.80
132;12;20000;11.89
133;13;20000;11.28
134;14;20000;11.98
135;15;20000;11.72
136;16;20000;11.30
137;17;20000;11.30
138;18;20000;11.40
139;19;20000;11.38
140;20;20000;11.40
141;21;20000;11.71
142;22;20000;13.15
143;23;20000;13.32
144;24;20000;12.40
145;25;20000;12.19
146;26;20000;11.98
147;27;20000;12.35
148;28;20000;13.42
149;29;20000;13.78
150;30;20000;13.24
151;1;25000;17.00
152;2;25000;33.25
153;3;25000;16.82
154;4;25000;17.63
155;5;25000;19.59
156;6;25000;16.80
157;7;25000;17.23
158;8;25000;18.58
159;9;25000;19.13
160;10;25000;18.33
161;11;25000;17.17
162;12;25000;16.87
163;13;25000;16.72
164;14;25000;17.28
165;15;25000;18.30
166;16;25000;17.67
167;17;25000;18.50
168;18;25000;18.34
169;19;25000;18.11
170;20;25000;17.55
171;21;25000;17.50
172;22;25000;32.78
173;23;25000;17.52
174;24;25000;17.62
175;25;25000;17.24
176;26;25000;20.42
177;27;25000;20.28
178;28;25000;18.20
179;29;25000;17.39
180;30;25000;17.39
181;1;50000;62.02
182;2;50000;66.80
183;3;50000;62.97
184;4;50000;62.50
185;5;50000;68.61
186;6;50000;75.17
187;7;50000;75.25
188;8;50000;73.73
189;9;50000;72.39
190;10;50000;72.14
191;11;50000;75.91
192;12;50000;72.80
193;13;50000;72.87
194;14;50000;72.08
195;15;50000;71.97
196;16;50000;73.03
197;17;50000;74.06
198;18;50000;72.08
199;19;50000;80.30
200;20;50000;73.45
201;21;50000;73.41
202;22;50000;72.57
203;23;50000;72.38
204;24;50000;72.58
205;25;50000;75.36
206;26;50000;72.84
207;27;50000;73.91
208;28;50000;70.62
209;29;50000;77.19
210;30;50000;76.33
211;1;100000;297.58
